permeat,bacon,weight,length,sex
67.015,11.8,87,83,female
66.813,11.1,77,78,female
66.637,11.1,76,79,female
66.613,12.2,80,79,female
66.352,10.4,88,83,female
66.17,9.6,83,83,female
65.95,12.2,88,79,female
65.456,10.7,83,78,female
65.286,11.5,93,84,female
65.219,11.1,81,78,female
65.157,10,80,81,female
65.066,11.1,82,80,female
64.99,12.6,82,79,female
64.781,12.6,87,83,female
64.721,10.4,84,79,female
64.705,12.2,85,82,female
64.635,11.8,86,80,female
64.368,11.5,82,84,female
64.346,11.5,77,80,male
64.338,12.2,85,88,female
64.327,11.5,75,82,female
64.321,11.1,91,82,female
64.283,11.8,73,77,female
64.261,11.5,83,80,female
64.052,10.4,76,76,female
63.988,13.7,80,77,female
63.987,11.5,87,83,female
63.778,13,87,83,female
63.663,12.2,96,82,female
63.495,12.2,77,81,female
63.432,11.1,85,82,female
63.42,11.8,92,82,female
63.328,11.5,85,79,female
63.238,11.5,73,76,female
63.207,11.5,76,78,male
63.154,11.5,84,83,female
63.071,13.3,88,80,female
62.951,11.8,89,79,female
62.825,11.5,87,85,female
62.649,14.1,85,80,female
62.603,12.6,85,85,female
62.55,12.2,79,81,female
62.507,11.1,80,78,female
62.434,10.7,80,79,female
62.405,11.8,78,80,female
62.279,11.5,77,81,male
62.262,11.5,82,81,female
62.221,12.6,79,80,female
62.201,12.2,81,78,female
62.012,13,83,80,female
61.896,13.7,81,78,female
61.871,13.7,89,82,female
61.838,14.8,82,79,male
61.813,12.2,89,82,female
61.737,12.2,89,83,female
61.621,13.7,81,80,female
61.575,13.3,86,80,female
61.554,13.3,82,82,female
61.541,13.7,82,81,female
61.524,11.5,81,80,female
61.476,11.8,77,83,female
61.474,12.2,79,79,female
61.414,12.2,83,81,female
61.412,14.1,77,78,female
61.378,14.1,79,79,female
61.111,14.4,97,81,male
61.098,11.5,81,79,female
61.06,13,87,84,female
61.036,12.6,83,78,female
60.937,12.2,70,80,male
60.887,11.1,83,82,female
60.749,12.6,73,76,female
60.67,16.7,95,80,male
60.624,12.2,79,82,female
60.59,15.6,80,79,female
60.589,12.6,87,82,female
60.563,13.7,83,78,female
60.544,14.8,84,81,female
60.376,17.42,93,83,female
60.345,11.8,84,83,female
60.333,11.8,81,86,female
60.306,15.2,85,80,female
60.247,13.7,94,82,female
60.245,12.2,81,82,female
60.185,16.3,81,80,male
60.16,13.7,79,79,male
60.105,12.2,79,77,female
59.938,15.9,90,79,female
59.898,13.7,74,77,male
59.792,13.3,90,80,male
59.593,13.7,80,80,female
59.571,12.6,83,84,female
59.519,13.3,79,81,male
59.343,14.8,84,83,female
59.232,13.3,82,82,male
59.198,14.8,84,78,male
59.146,12.6,81,79,female
59.112,13.3,74,79,male
59.047,17.42,88,80,male
59.029,15.2,85,76,male
59.025,13,83,82,female
59.002,12.6,80,84,male
58.879,13,82,82,female
58.875,16.3,82,76,male
58.722,14.1,95,84,male
58.67,17,83,74,male
58.644,16.3,84,80,female
58.64,13.7,78,80,female
58.601,15.2,83,80,male
58.532,17.8,87,79,male
58.422,13.3,82,83,female
58.389,12.2,76,82,male
58.366,17,93,81,male
58.316,16.3,86,82,female
58.276,14.1,84,79,female
58.196,13,83,81,female
58.146,18.1,94,78,male
58.083,14.4,79,81,male
58.015,13.7,80,80,male
57.962,13.3,82,78,male
57.933,12.2,76,82,male
57.892,15.6,84,82,female
57.864,14.8,88,80,male
57.816,17,84,79,male
57.813,14.4,94,84,male
57.793,16.7,98,83,male
57.782,13.7,88,79,male
57.61,13.7,80,81,male
57.537,17.42,86,82,male
57.521,15.9,79,80,male
57.507,14.8,85,83,female
57.497,13.3,83,83,male
57.438,13.3,91,82,male
57.432,15.6,85,80,male
57.423,14.8,87,81,female
57.37,16.7,72,78,male
57.345,12.6,85,81,female
57.218,14.4,86,77,male
57.162,15.9,82,82,male
57.105,15.2,85,78,male
57.088,13,80,83,male
56.834,14,88,84,male
56.736,19.3,76,75,male
56.708,17,85,78,male
56.568,16.3,87,80,male
56.568,16.3,89,83,male
56.56,19.3,77,77,male
56.524,15.6,87,79,male
56.509,13.3,86,83,female
56.498,15.6,71,75,male
56.463,15.2,81,79,male
56.45,17.8,90,80,male
56.294,14.8,80,79,female
56.236,16.7,95,79,male
56.188,16.3,84,77,male
55.822,13.7,87,83,female
55.815,15.2,87,82,male
55.774,15.9,86,82,male
55.752,16.3,81,80,male
55.716,18.92,83,79,male
55.676,14.8,83,84,male
55.588,14.8,84,83,female
55.557,14.1,77,78,female
55.504,15.9,84,82,male
55.436,19.6,84,77,male
55.226,14.1,87,80,male
55.218,20.7,92,77,male
55.189,16.3,84,77,male
55.169,15.2,85,78,male
55.035,17.42,91,81,male
54.97,15.9,77,78,male
54.965,16.3,89,81,male
54.958,19.3,94,81,male
54.874,16.7,81,78,male
54.767,17.8,84,81,male
54.68,18.92,88,81,male
54.647,18.1,90,79,male
54.592,18.5,73,78,male
54.571,15.9,87,83,male
53.879,15.9,85,83,male
53.477,20.42,92,81,male
53.274,17.42,90,81,male
53.036,23.3,97,85,male
52.974,15.2,78,80,male
52.886,16.3,87,83,male
52.706,21.5,99,86,male
52.308,19.6,86,78,male
52.218,22.6,85,75,male
51.829,20.42,88,82,male
51.421,18.1,83,83,male
51.106,19.6,78,80,male
50.828,20.42,84,80,male
50.792,18.92,90,83,male
50.509,22.2,91,84,male
50.172,22.6,78,80,male
49.813,22.2,92,81,male
49.039,24.8,90,82,male
47.997,24.42,89,81,male
46.797,24.42,88,79,male
46.279,25.2,90,85,male
